
epoch: 1, loss: 0.4681, norm: 0.8907, param_norm: 1186.1747, vb_loss: 0.0002, ce_loss: 0.2288:  10%|▉         | 23/235 [00:10<00:23,  8.89it/s]
epoch: 1, loss: 0.4681, norm: 0.8907, param_norm: 1186.1747, vb_loss: 0.0002, ce_loss: 0.2288:  11%|█         | 25/235 [00:10<00:22,  9.51it/s]
epoch: 1, loss: 0.4656, norm: 0.5537, param_norm: 1186.6785, vb_loss: 0.0002, ce_loss: 0.2204:  11%|█         | 25/235 [00:10<00:22,  9.51it/s]
epoch: 1, loss: 0.4631, norm: 0.3987, param_norm: 1187.1370, vb_loss: 0.0002, ce_loss: 0.2203:  11%|█         | 25/235 [00:10<00:22,  9.51it/s]
epoch: 1, loss: 0.4631, norm: 0.3987, param_norm: 1187.1370, vb_loss: 0.0002, ce_loss: 0.2203:  11%|█▏        | 27/235 [00:10<00:21,  9.75it/s]
epoch: 1, loss: 0.4607, norm: 0.4187, param_norm: 1187.5601, vb_loss: 0.0002, ce_loss: 0.2202:  11%|█▏        | 27/235 [00:10<00:21,  9.75it/s]
epoch: 1, loss: 0.4583, norm: 0.1738, param_norm: 1187.9497, vb_loss: 0.0002, ce_loss: 0.2161:  11%|█▏        | 27/235 [00:10<00:21,  9.75it/s]
epoch: 1, loss: 0.4583, norm: 0.1738, param_norm: 1187.9497, vb_loss: 0.0002, ce_loss: 0.2161:  12%|█▏        | 29/235 [00:10<00:19, 10.34it/s]
epoch: 1, loss: 0.4559, norm: 0.8893, param_norm: 1188.3103, vb_loss: 0.0002, ce_loss: 0.2233:  12%|█▏        | 29/235 [00:10<00:19, 10.34it/s]
epoch: 1, loss: 0.4536, norm: 0.7737, param_norm: 1188.6379, vb_loss: 0.0002, ce_loss: 0.2235:  12%|█▏        | 29/235 [00:10<00:19, 10.34it/s]
epoch: 1, loss: 0.4536, norm: 0.7737, param_norm: 1188.6379, vb_loss: 0.0002, ce_loss: 0.2235:  13%|█▎        | 31/235 [00:10<00:19, 10.73it/s]
epoch: 1, loss: 0.4513, norm: 0.2490, param_norm: 1188.9354, vb_loss: 0.0002, ce_loss: 0.2220:  13%|█▎        | 31/235 [00:10<00:19, 10.73it/s]
epoch: 1, loss: 0.4489, norm: 0.3584, param_norm: 1189.2083, vb_loss: 0.0010, ce_loss: 0.2170:  13%|█▎        | 31/235 [00:10<00:19, 10.73it/s]
epoch: 1, loss: 0.4489, norm: 0.3584, param_norm: 1189.2083, vb_loss: 0.0010, ce_loss: 0.2170:  14%|█▍        | 33/235 [00:10<00:18, 10.73it/s]
epoch: 1, loss: 0.4466, norm: 0.3102, param_norm: 1189.4673, vb_loss: 0.0011, ce_loss: 0.2201:  14%|█▍        | 33/235 [00:10<00:18, 10.73it/s]
epoch: 1, loss: 0.4443, norm: 0.2018, param_norm: 1189.7073, vb_loss: 0.0012, ce_loss: 0.2145:  14%|█▍        | 33/235 [00:10<00:18, 10.73it/s]
epoch: 1, loss: 0.4443, norm: 0.2018, param_norm: 1189.7073, vb_loss: 0.0012, ce_loss: 0.2145:  15%|█▍        | 35/235 [00:10<00:18, 10.91it/s]
epoch: 1, loss: 0.4420, norm: 0.3037, param_norm: 1189.9364, vb_loss: 0.0002, ce_loss: 0.2110:  15%|█▍        | 35/235 [00:11<00:18, 10.91it/s]
epoch: 1, loss: 0.4397, norm: 0.2819, param_norm: 1190.1477, vb_loss: 0.0002, ce_loss: 0.2140:  15%|█▍        | 35/235 [00:11<00:18, 10.91it/s]
epoch: 1, loss: 0.4397, norm: 0.2819, param_norm: 1190.1477, vb_loss: 0.0002, ce_loss: 0.2140:  16%|█▌        | 37/235 [00:11<00:17, 11.04it/s]
epoch: 1, loss: 0.4374, norm: 0.2020, param_norm: 1190.3369, vb_loss: 0.0002, ce_loss: 0.2142:  16%|█▌        | 37/235 [00:11<00:17, 11.04it/s]
epoch: 1, loss: 0.4352, norm: 0.2374, param_norm: 1190.5148, vb_loss: 0.0011, ce_loss: 0.2146:  16%|█▌        | 37/235 [00:11<00:17, 11.04it/s]
epoch: 1, loss: 0.4352, norm: 0.2374, param_norm: 1190.5148, vb_loss: 0.0011, ce_loss: 0.2146:  17%|█▋        | 39/235 [00:11<00:17, 11.07it/s]
epoch: 1, loss: 0.4329, norm: 0.2332, param_norm: 1190.6837, vb_loss: 0.0016, ce_loss: 0.2066:  17%|█▋        | 39/235 [00:11<00:17, 11.07it/s]
epoch: 1, loss: 0.4307, norm: 0.4262, param_norm: 1190.8492, vb_loss: 0.0002, ce_loss: 0.2126:  17%|█▋        | 39/235 [00:11<00:17, 11.07it/s]
epoch: 1, loss: 0.4307, norm: 0.4262, param_norm: 1190.8492, vb_loss: 0.0002, ce_loss: 0.2126:  17%|█▋        | 41/235 [00:11<00:17, 10.92it/s]
epoch: 1, loss: 0.4285, norm: 0.2108, param_norm: 1191.0034, vb_loss: 0.0002, ce_loss: 0.2056:  17%|█▋        | 41/235 [00:11<00:17, 10.92it/s]
epoch: 1, loss: 0.4262, norm: 0.3036, param_norm: 1191.1436, vb_loss: 0.0009, ce_loss: 0.2046:  17%|█▋        | 41/235 [00:11<00:17, 10.92it/s]
epoch: 1, loss: 0.4262, norm: 0.3036, param_norm: 1191.1436, vb_loss: 0.0009, ce_loss: 0.2046:  18%|█▊        | 43/235 [00:11<00:17, 11.20it/s]
epoch: 1, loss: 0.4241, norm: 0.1645, param_norm: 1191.2778, vb_loss: 0.0002, ce_loss: 0.2074:  18%|█▊        | 43/235 [00:11<00:17, 11.20it/s]
epoch: 1, loss: 0.4218, norm: 0.1644, param_norm: 1191.4028, vb_loss: 0.0002, ce_loss: 0.2004:  18%|█▊        | 43/235 [00:11<00:17, 11.20it/s]
epoch: 1, loss: 0.4218, norm: 0.1644, param_norm: 1191.4028, vb_loss: 0.0002, ce_loss: 0.2004:  19%|█▉        | 45/235 [00:11<00:16, 11.37it/s]
epoch: 1, loss: 0.4196, norm: 0.5385, param_norm: 1191.5211, vb_loss: 0.0002, ce_loss: 0.2010:  19%|█▉        | 45/235 [00:11<00:16, 11.37it/s]
epoch: 1, loss: 0.4174, norm: 0.2834, param_norm: 1191.6343, vb_loss: 0.0002, ce_loss: 0.2025:  19%|█▉        | 45/235 [00:12<00:16, 11.37it/s]
epoch: 1, loss: 0.4174, norm: 0.2834, param_norm: 1191.6343, vb_loss: 0.0002, ce_loss: 0.2025:  20%|██        | 47/235 [00:12<00:16, 11.20it/s]
epoch: 1, loss: 0.4153, norm: 0.3555, param_norm: 1191.7367, vb_loss: 0.0002, ce_loss: 0.2051:  20%|██        | 47/235 [00:12<00:16, 11.20it/s]
epoch: 1, loss: 0.4132, norm: 0.3996, param_norm: 1191.8324, vb_loss: 0.0002, ce_loss: 0.2060:  20%|██        | 47/235 [00:12<00:16, 11.20it/s]
epoch: 1, loss: 0.4132, norm: 0.3996, param_norm: 1191.8324, vb_loss: 0.0002, ce_loss: 0.2060:  21%|██        | 49/235 [00:12<00:16, 11.26it/s]
epoch: 1, loss: 0.4111, norm: 0.1298, param_norm: 1191.9244, vb_loss: 0.0009, ce_loss: 0.2009:  21%|██        | 49/235 [00:12<00:16, 11.26it/s]
epoch: 1, loss: 0.4091, norm: 1.0950, param_norm: 1192.0107, vb_loss: 0.0002, ce_loss: 0.2095:  21%|██        | 49/235 [00:12<00:16, 11.26it/s]
epoch: 1, loss: 0.4091, norm: 1.0950, param_norm: 1192.0107, vb_loss: 0.0002, ce_loss: 0.2095:  22%|██▏       | 51/235 [00:12<00:16, 11.29it/s]
epoch: 1, loss: 0.4070, norm: 1.0458, param_norm: 1192.0912, vb_loss: 0.0011, ce_loss: 0.2038:  22%|██▏       | 51/235 [00:12<00:16, 11.29it/s]
epoch: 1, loss: 0.4049, norm: 0.2461, param_norm: 1192.1652, vb_loss: 0.0002, ce_loss: 0.1963:  22%|██▏       | 51/235 [00:12<00:16, 11.29it/s]
epoch: 1, loss: 0.4049, norm: 0.2461, param_norm: 1192.1652, vb_loss: 0.0002, ce_loss: 0.1963:  23%|██▎       | 53/235 [00:12<00:16, 11.32it/s]
epoch: 1, loss: 0.4029, norm: 0.4825, param_norm: 1192.2356, vb_loss: 0.0002, ce_loss: 0.2013:  23%|██▎       | 53/235 [00:12<00:16, 11.32it/s]
epoch: 1, loss: 0.4008, norm: 0.5261, param_norm: 1192.3046, vb_loss: 0.0008, ce_loss: 0.1986:  23%|██▎       | 53/235 [00:12<00:16, 11.32it/s]
epoch: 1, loss: 0.4008, norm: 0.5261, param_norm: 1192.3046, vb_loss: 0.0008, ce_loss: 0.1986:  23%|██▎       | 55/235 [00:12<00:16, 11.04it/s]
epoch: 1, loss: 0.3989, norm: 0.2427, param_norm: 1192.3721, vb_loss: 0.0002, ce_loss: 0.2025:  23%|██▎       | 55/235 [00:12<00:16, 11.04it/s]
epoch: 1, loss: 0.3968, norm: 0.2692, param_norm: 1192.4326, vb_loss: 0.0002, ce_loss: 0.1959:  23%|██▎       | 55/235 [00:12<00:16, 11.04it/s]
epoch: 1, loss: 0.3968, norm: 0.2692, param_norm: 1192.4326, vb_loss: 0.0002, ce_loss: 0.1959:  24%|██▍       | 57/235 [00:12<00:15, 11.25it/s]
epoch: 1, loss: 0.3949, norm: 0.3753, param_norm: 1192.4868, vb_loss: 0.0006, ce_loss: 0.1996:  24%|██▍       | 57/235 [00:12<00:15, 11.25it/s]
epoch: 1, loss: 0.3929, norm: 0.1509, param_norm: 1192.5369, vb_loss: 0.0002, ce_loss: 0.1950:  24%|██▍       | 57/235 [00:13<00:15, 11.25it/s]
epoch: 1, loss: 0.3929, norm: 0.1509, param_norm: 1192.5369, vb_loss: 0.0002, ce_loss: 0.1950:  25%|██▌       | 59/235 [00:13<00:15, 11.36it/s]
epoch: 1, loss: 0.3909, norm: 0.2302, param_norm: 1192.5886, vb_loss: 0.0002, ce_loss: 0.1950:  25%|██▌       | 59/235 [00:13<00:15, 11.36it/s]
epoch: 1, loss: 0.3889, norm: 0.1521, param_norm: 1192.6448, vb_loss: 0.0002, ce_loss: 0.1931:  25%|██▌       | 59/235 [00:13<00:15, 11.36it/s]
epoch: 1, loss: 0.3889, norm: 0.1521, param_norm: 1192.6448, vb_loss: 0.0002, ce_loss: 0.1931:  26%|██▌       | 61/235 [00:13<00:15, 11.17it/s]
epoch: 1, loss: 0.3870, norm: 0.3006, param_norm: 1192.6958, vb_loss: 0.0002, ce_loss: 0.1969:  26%|██▌       | 61/235 [00:13<00:15, 11.17it/s]
epoch: 1, loss: 0.3850, norm: 0.1203, param_norm: 1192.7438, vb_loss: 0.0010, ce_loss: 0.1923:  26%|██▌       | 61/235 [00:13<00:15, 11.17it/s]
epoch: 1, loss: 0.3850, norm: 0.1203, param_norm: 1192.7438, vb_loss: 0.0010, ce_loss: 0.1923:  27%|██▋       | 63/235 [00:13<00:15, 11.28it/s]
epoch: 1, loss: 0.3831, norm: 0.2109, param_norm: 1192.7867, vb_loss: 0.0002, ce_loss: 0.1916:  27%|██▋       | 63/235 [00:13<00:15, 11.28it/s]
epoch: 1, loss: 0.3812, norm: 0.1568, param_norm: 1192.8351, vb_loss: 0.0010, ce_loss: 0.1952:  27%|██▋       | 63/235 [00:13<00:15, 11.28it/s]
